Level	exp_needed	exp_accumulated
1	0	0
2	100	100
3	340	440
4	640	1,080
5	1,000	2,080
6	1,420	3,500
7	1,900	5,400
8	2,440	7,840
9	3,040	10,880
10	3,700	14,580
11	4,420	19,000
12	5,200	24,200
13	6,040	30,240
14	6,940	37,180
15	7,900	45,080
16	8,920	54,000
17	10,000	64,000
18	11,140	75,140
19	12,340	87,480
20	13,600	101,080
21	14,920	116,000
22	16,300	132,300
23	17,740	150,040
24	19,240	169,280
25	20,800	190,080
26	22,420	212,500
27	24,100	236,600
28	25,840	262,440
29	27,640	290,080
30	29,500	319,580
31	31,420	351,000
32	33,400	384,400
33	35,440	419,840
34	37,540	457,380
35	39,700	497,080
36	41,920	539,000
37	44,200	583,200
38	46,540	629,740
39	48,940	678,680
40	51,400	730,080
41	53,920	784,000
42	56,500	840,500
43	59,140	899,640
44	61,840	961,480
45	64,600	1,026,080
46	67,420	1,093,500
47	70,300	1,163,800
48	73,240	1,237,040
49	76,240	1,313,280
50	79,300	1,392,580
51	82,420	1,475,000
52	85,600	1,560,600
53	88,840	1,649,440
54	92,140	1,741,580
55	95,500	1,837,080
56	98,920	1,936,000
57	102,400	2,038,400
58	105,940	2,144,340
59	109,540	2,253,880
60	113,200	2,367,080
61	116,920	2,484,000
62	120,700	2,604,700
63	124,540	2,729,240
64	128,440	2,857,680
65	132,400	2,990,080
66	136,420	3,126,500
67	140,500	3,267,000
68	144,640	3,411,640
69	148,840	3,560,480
70	153,100	3,713,580
71	157,420	3,871,000
72	161,800	4,032,800
73	166,240	4,199,040
74	170,740	4,369,780
75	175,300	4,545,080
76	179,920	4,725,000
77	184,600	4,909,600
78	189,340	5,098,940
79	194,140	5,293,080
80	199,000	5,492,080
81	203,920	5,696,000
82	208,900	5,904,900
83	213,940	6,118,840
84	219,040	6,337,880
85	224,200	6,562,080
86	229,420	6,791,500
87	234,700	7,026,200
88	240,040	7,266,240
89	245,440	7,511,680
90	250,900	7,762,580
91	256,420	8,019,000
92	262,000	8,281,000
93	267,640	8,548,640
94	273,340	8,821,980
95	279,100	9,101,080
96	284,920	9,386,000
97	290,800	9,676,800
98	296,740	9,973,540
99	302,740	10,276,280
100	308,800	10,585,080
101	314,920	10,900,000
102	321,100	11,221,100
103	327,340	11,548,440
104	333,640	11,882,080
105	340,000	12,222,080
106	346,420	12,568,500
107	352,900	12,921,400
108	359,440	13,280,840
109	366,040	13,646,880
110	372,700	14,019,580
111	379,420	14,399,000
112	386,200	14,785,200
113	393,040	15,178,240
114	399,940	15,578,180
115	406,900	15,985,080
116	413,920	16,399,000
117	421,000	16,820,000
118	428,140	17,248,140
119	435,340	17,683,480
120	442,600	18,126,080
121	449,920	18,576,000
122	457,300	19,033,300
123	464,740	19,498,040
124	472,240	19,970,280
125	479,800	20,450,080
126	487,420	20,937,500
127	495,100	21,432,600
128	502,840	21,935,440
129	510,640	22,446,080
130	518,500	22,964,580
131	526,420	23,491,000
132	534,400	24,025,400
133	542,440	24,567,840
134	550,540	25,118,380
135	558,700	25,677,080
136	566,920	26,244,000
137	575,200	26,819,200
138	583,540	27,402,740
139	591,940	27,994,680
140	600,400	28,595,080
141	608,920	29,204,000
142	617,500	29,821,500
143	626,140	30,447,640
144	634,840	31,082,480
145	643,600	31,726,080
146	652,420	32,378,500
147	661,300	33,039,800
148	670,240	33,710,040
149	679,240	34,389,280
150	688,300	35,077,580
151	697,420	35,775,000
152	706,600	36,481,600
153	715,840	37,197,440
154	725,140	37,922,580
155	734,500	38,657,080
156	743,920	39,401,000
157	753,400	40,154,400
158	762,940	40,917,340
159	772,540	41,689,880
160	782,200	42,472,080
161	791,920	43,264,000
162	801,700	44,065,700
163	811,540	44,877,240
164	821,440	45,698,680
165	831,400	46,530,080
166	841,420	47,371,500
167	851,500	48,223,000
168	861,640	49,084,640
169	871,840	49,956,480
170	882,100	50,838,580
171	892,420	51,731,000
172	902,800	52,633,800
173	913,240	53,547,040
174	923,740	54,470,780
175	934,300	55,405,080
176	944,920	56,350,000
177	955,600	57,305,600
178	966,340	58,271,940
179	977,140	59,249,080
180	988,000	60,237,080
181	998,920	61,236,000
182	1,009,900	62,245,900
183	1,020,940	63,266,840
184	1,032,040	64,298,880
185	1,043,200	65,342,080
186	1,054,420	66,396,500
187	1,065,700	67,462,200
188	1,077,040	68,539,240
189	1,088,440	69,627,680
190	1,099,900	70,727,580
191	1,111,420	71,839,000
192	1,123,000	72,962,000
193	1,134,640	74,096,640
194	1,146,340	75,242,980
195	1,158,100	76,401,080
196	1,169,920	77,571,000
197	1,181,800	78,752,800
198	1,193,740	79,946,540
199	1,205,740	81,152,280
200	1,217,800	82,370,080
201	1,229,920	83,600,000
202	1,242,100	84,842,100
203	1,254,340	86,096,440
204	1,266,640	87,363,080
205	1,279,000	88,642,080
206	1,291,420	89,933,500
207	1,303,900	91,237,400
208	1,316,440	92,553,840
209	1,329,040	93,882,880
210	1,341,700	95,224,580
211	1,354,420	96,579,000
212	1,367,200	97,946,200
213	1,380,040	99,326,240
214	1,392,940	100,719,180
215	1,405,900	102,125,080
216	1,418,920	103,544,000
217	1,432,000	104,976,000
218	1,445,140	106,421,140
219	1,458,340	107,879,480
220	1,471,600	109,351,080
221	1,484,920	110,836,000
222	1,498,300	112,334,300
223	1,511,740	113,846,040
224	1,525,240	115,371,280
225	1,538,800	116,910,080
226	1,552,420	118,462,500
227	1,566,100	120,028,600
228	1,579,840	121,608,440
229	1,593,640	123,202,080
230	1,607,500	124,809,580
231	1,621,420	126,431,000
232	1,635,400	128,066,400
233	1,649,440	129,715,840
234	1,663,540	131,379,380
235	1,677,700	133,057,080
236	1,691,920	134,749,000
237	1,706,200	136,455,200
238	1,720,540	138,175,740
239	1,734,940	139,910,680
240	1,749,400	141,660,080
241	1,763,920	143,424,000
242	1,778,500	145,202,500
243	1,793,140	146,995,640
244	1,807,840	148,803,480
245	1,822,600	150,626,080
246	1,837,420	152,463,500
247	1,852,300	154,315,800
248	1,867,240	156,183,040
249	1,882,240	158,065,280
250	1,897,300	159,962,580
251	1,912,420	161,875,000
252	1,927,600	163,802,600
253	1,942,840	165,745,440
254	1,958,140	167,703,580
255	1,973,500	169,677,080
256	1,988,920	171,666,000
257	2,014,400	173,680,400
258	2,053,940	175,734,340
259	2,099,540	177,833,880
260	2,151,200	179,985,080
261	2,208,920	182,194,000
262	2,272,700	184,466,700
263	2,342,540	186,809,240
264	2,418,440	189,227,680
265	2,500,400	191,728,080
266	2,588,420	194,316,500
267	2,682,500	196,999,000
268	2,782,640	199,781,640
269	2,888,840	202,670,480
270	3,001,100	205,671,580
271	3,119,420	208,791,000
272	3,243,800	212,034,800
273	3,374,240	215,409,040
274	3,510,740	218,919,780
275	3,653,300	222,573,080
276	3,801,920	226,375,000
277	3,956,600	230,331,600
278	4,117,340	234,448,940
279	4,284,140	238,733,080
280	4,457,000	243,190,080
281	4,635,920	247,826,000
282	4,820,900	252,646,900
283	5,011,940	257,658,840
284	5,209,040	262,867,880
285	5,412,200	268,280,080
286	5,621,420	273,901,500
287	5,836,700	279,738,200
288	6,058,040	285,796,240
289	6,285,440	292,081,680
290	6,518,900	298,600,580
291	6,758,420	305,359,000
292	7,004,000	312,363,000
293	7,255,640	319,618,640
294	7,513,340	327,131,980
295	7,777,100	334,909,080
296	8,046,920	342,956,000
297	8,322,800	351,278,800
298	8,604,740	359,883,540
299	8,892,740	368,776,280
300	9,186,800	377,963,080
301	9,486,920	387,450,000
302	9,793,100	397,243,100
303	10,105,340	407,348,440
304	10,423,640	417,772,080
305	10,748,000	428,520,080
306	11,078,420	439,598,500
307	11,414,900	451,013,400
308	11,757,440	462,770,840
309	12,106,040	474,876,880
310	12,460,700	487,337,580
311	12,821,420	500,159,000
312	13,188,200	513,347,200
313	13,561,040	526,908,240
314	13,939,940	540,848,180
315	14,324,900	555,173,080
316	14,715,920	569,889,000
317	15,113,000	585,002,000
318	15,516,140	600,518,140
319	15,925,340	616,443,480
320	16,340,600	632,784,080
321	16,761,920	649,546,000
322	17,189,300	666,735,300
323	17,622,740	684,358,040
324	18,062,240	702,420,280
325	18,507,800	720,928,080
326	18,959,420	739,887,500
327	19,417,100	759,304,600
328	19,880,840	779,185,440
329	20,350,640	799,536,080
330	20,826,500	820,362,580
331	21,308,420	841,671,000
332	21,796,400	863,467,400
333	22,290,440	885,757,840
334	22,790,540	908,548,380
335	23,296,700	931,845,080
336	23,808,920	955,654,000
337	24,327,200	979,981,200
338	24,851,540	1,004,832,740
339	25,381,940	1,030,214,680
340	25,918,400	1,056,133,080
341	26,460,920	1,082,594,000
342	27,009,500	1,109,603,500
343	27,564,140	1,137,167,640
344	28,124,840	1,165,292,480
345	28,691,600	1,193,984,080
346	29,264,420	1,223,248,500
347	29,843,300	1,253,091,800
348	30,428,240	1,283,520,040
349	31,019,240	1,314,539,280
350	31,616,300	1,346,155,580
351	32,219,420	1,378,375,000
352	32,828,600	1,411,203,600
353	33,443,840	1,444,647,440
354	34,065,140	1,478,712,580
355	34,692,500	1,513,405,080
356	35,325,920	1,548,731,000
357	35,965,400	1,584,696,400
358	36,610,940	1,621,307,340
359	37,262,540	1,658,569,880
360	37,920,200	1,696,490,080
361	38,583,920	1,735,074,000
362	39,253,700	1,774,327,700
363	39,929,540	1,814,257,240
364	40,611,440	1,854,868,680
365	41,299,400	1,896,168,080
366	41,993,420	1,938,161,500
367	42,693,500	1,980,855,000
368	43,399,640	2,024,254,640
369	44,111,840	2,068,366,480
370	44,830,100	2,113,196,580
371	45,554,420	2,158,751,000
372	46,284,800	2,205,035,800
373	47,021,240	2,252,057,040
374	47,763,740	2,299,820,780
375	48,512,300	2,348,333,080
376	49,266,920	2,397,600,000
377	50,027,600	2,447,627,600
378	50,794,340	2,498,421,940
379	51,567,140	2,549,989,080
380	52,346,000	2,602,335,080
381	53,130,920	2,655,466,000
382	53,921,900	2,709,387,900
383	54,718,940	2,764,106,840
384	55,522,040	2,819,628,880
385	56,331,200	2,875,960,080
386	57,146,420	2,933,106,500
387	57,967,700	2,991,074,200
388	58,795,040	3,049,869,240
389	59,628,440	3,109,497,680
390	60,467,900	3,169,965,580
391	61,313,420	3,231,279,000
392	62,165,000	3,293,444,000
393	63,022,640	3,356,466,640
394	63,886,340	3,420,352,980
395	64,756,100	3,485,109,080
396	65,631,920	3,550,741,000
397	66,513,800	3,617,254,800
398	67,401,740	3,684,656,540
399	68,295,740	3,752,952,280
400	69,195,800	3,822,148,080
